"local.anomaly","resid","res.color"
"-0.1274672","-1.29325170438771","#08519C"
"-0.1463152","-0.503606412509821","#08519C"
"2.604226","0.236998958936415","#08519C"
"1.292247","0.708891835902626","#08519C"
"-1.572708","-1.5231418770691","#08519C"
"0.9342886","1.39349647771728","#08519C"
"0.2324062","1.3835996202791","#08519C"
"-0.1349813","-1.61599332220878","#08519C"
"-1.445265","0.245369146056965","#08519C"
"2.145838","0.650386980672238","#08519C"
"-0.4690931","-0.279449950047705","#08519C"
"-0.7446384","-0.25282797070816","#08519C"
"-1.450991","0.688475249529208","#08519C"
"-0.07463542","-0.0328584371939838","#08519C"
"0.814502","0.732958026637504","#08519C"
"1.858091","-0.325777920901452","#08519C"
"1.16607","-0.549813950465138","#08519C"
"0.962652","-0.494105011036854","#08519C"
"0.4349455","-0.14940468604222","#08519C"
"0.8854418","0.578435699563784","#08519C"
"-0.4125087","-0.0695167982047228","#08519C"
"2.525136","0.386701642807293","#08519C"
"1.257503","-0.109147898624884","#08519C"
"0.7834681","-1.20670404500767","#08519C"
"0.9884431","1.04872507234303","#2171B5"
"-0.8863648","0.902274978397261","#2171B5"
"0.1962483","0.19829925523067","#2171B5"
"0.2372955","-0.0182573552522125","#2171B5"
"-0.8446573","-0.621557002815586","#2171B5"
"-0.1398751","-0.378582633126226","#2171B5"
"0.3864659","0.220249657545473","#2171B5"
"1.308421","0.00368337754613529","#2171B5"
"-1.169782","-0.278227053128458","#2171B5"
"-1.040883","0.0731532717550541","#2171B5"
"0.3718268","-0.41280205682144","#2171B5"
"2.640088","-1.05889110255075","#2171B5"
"0.8128065","0.24630942026712","#2171B5"
"-0.8446573","-1.29899482973504","#2171B5"
"0.3864659","0.262241208706219","#2171B5"
"-0.8863648","0.507040410861592","#2171B5"
"0.2372955","-0.392270008016793","#2171B5"
"2.640088","0.824538025739112","#2171B5"
"0.9884431","0.297624001040595","#2171B5"
"0.3718268","-0.831819081536237","#2171B5"
"-0.1398751","0.288670592264611","#2171B5"
"-1.169782","-0.248372616327094","#2171B5"
"0.1962483","-1.05599990516343","#2171B5"
"1.308421","0.612764462623335","#2171B5"
"0.8128065","1.09584820918763","#2171B5"
"-1.21643","-0.982832989351406","#2171B5"
"0.6012045","0.375596475238349","#2171B5"
"1.301936","0.261361558736647","#2171B5"
"0.3933065","0.569305307597104","#2171B5"
"0.7629367","-0.904630623367203","#2171B5"
"2.468445","0.458046071172481","#2171B5"
"0.4702003","-0.763885472510918","#2171B5"
"-0.4080952","-0.0839425327649095","#2171B5"
"-1.045514","0.635199049093036","#2171B5"
"1.124186","0.0490284687624822","#2171B5"
"0.1991644","0.905001494334157","#2171B5"
"0.7567474","1.26518873367536","#2171B5"
"0.4099587","-0.788610584015683","#2171B5"
"1.339176","-0.56049479988358","#2171B5"
"0.7146549","-0.213206781566295","#2171B5"
"2.633289","-0.517793852276121","#2171B5"
"-0.9266795","-0.716984575501439","#2171B5"
"-0.1527827","0.626021429891797","#2171B5"
"0.7146549","0.158112188477367","#2171B5"
"-0.8959122","-1.30153114503285","#2171B5"
"0.3673895","-0.108470517758064","#2171B5"
"-0.1527827","0.29189411498186","#2171B5"
"2.633289","0.661082547261908","#2171B5"
"0.4099587","0.328672984313754","#2171B5"
"0.9187348","0.521054257331909","#2171B5"
"-1.114996","0.0234143296912761","#2171B5"
"-0.8826956","-0.807862845926387","#2171B5"
"0.8928216","0.457365248141034","#2171B5"
"-0.9424491","-0.0702591247983549","#2171B5"
"-1.140864","-0.115195200991039","#2171B5"
"0.7434466","-0.349835287515225","#2171B5"
"0.3735667","-0.808771274320445","#2171B5"
"1.337157","0.0866290733713451","#2171B5"
"-0.1521229","0.497531763856599","#2171B5"
"-1.022262","-0.40256852786072","#2171B5"
"0.403387","0.709376102983661","#2171B5"
"0.3932766","0.000870316777358049","#2171B5"
"-1.370575","0.232183662932121","#2171B5"
"-1.425647","-1.21403668042883","#2171B5"
"0.9865563","0.120598335640987","#2171B5"
"2.451072","0.268501461713352","#2171B5"
"-0.5260374","-0.126569947543143","#2171B5"
"-0.9718702","-0.664479678668889","#2171B5"
"-0.8447134","-0.0676923583918554","#4292C6"
"-1.02049","-0.682051589966598","#4292C6"
"-0.1272838","-0.294960124561029","#4292C6"
"0.5893765","-0.0888779383539873","#4292C6"
