"x","predicted","std.error","conf.low","conf.high","group"
-7.053,-0.598467774514575,0.230508448759643,-1.05071756472431,-0.146217984304835,"-1"
-7.053,-0.586178345252269,0.214096638930471,-1.00622871894542,-0.166127971559121,"-0.9"
-7.053,-0.573888915989964,0.198321197175314,-0.962988405832105,-0.184789426147823,"-0.8"
-7.053,-0.561599486727658,0.183346459722442,-0.921319047513189,-0.201879925942127,"-0.7"
-7.053,-0.549310057465353,0.169384922388133,-0.881637553602397,-0.216982561328309,"-0.6"
-7.053,-0.537020628203047,0.156707626387781,-0.844475697808931,-0.229565558597163,"-0.5"
-7.053,-0.524731198940742,0.145650296943496,-0.810492161678239,-0.238970236203244,"-0.4"
-7.053,-0.512441769678436,0.1366068754761,-0.780459844971175,-0.244423694385697,"-0.3"
-7.053,-0.500152340416131,0.129998340185306,-0.755204692695517,-0.245099988136745,"-0.2"
-7.053,-0.487862911153825,0.12620776153036,-0.735478276152712,-0.240247546154938,"-0.1"
-7.053,-0.47557348189152,0.125490757771445,-0.721782109734811,-0.229364854048228,"0"
-7.053,-0.463284052629214,0.127899030870357,-0.714217630944436,-0.212350474313992,"0.1"
-7.053,-0.450994623366909,0.133263252643328,-0.712452623604704,-0.189536623129113,"0.2"
-7.053,-0.438705194104603,0.141247044247163,-0.715827123787681,-0.161583264421525,"0.3"
-7.053,-0.426415764842297,0.151436657081495,-0.723529370715303,-0.129302158969292,"0.4"
-7.053,-0.414126335579992,0.163419996645007,-0.734750848895968,-0.0935018222640162,"0.5"
-7.053,-0.401836906317686,0.17683277437983,-0.748776836484299,-0.0548969761510742,"0.6"
-7.053,-0.389547477055381,0.191374673042854,-0.765018121193617,-0.0140768329171451,"0.7"
-7.053,-0.377258047793075,0.206807643634438,-0.78300765892759,0.0284915633414398,"0.8"
-7.053,-0.36496861853077,0.222946715707982,-0.802382543918039,0.0724453068564989,"0.9"
-7.053,-0.352679189268464,0.239649275442886,-0.822862972666242,0.117504594129314,"1"
-7.051,-0.598022754047182,0.230471084622448,-1.05019923708185,-0.145846271012509,"-1"
