"local.anomaly","resid","res.color","res.color2"
2.657605,-0.243676705493702,"#08306B","#08306B"
0.9627084,0.294285375252431,"#08306B","#08306B"
1.454177,-0.352660850279878,"#08306B","#08306B"
0.830677,0.588406546446867,"#08306B","#08306B"
0.6156732,0.542251586642231,"#08306B","#08306B"
-1.431856,-0.651612157651793,"#08306B","#08306B"
1.14325,0.192724061475396,"#08306B","#08306B"
2.430748,0.47562350761677,"#08306B","#08306B"
1.540991,-2.4463869730319,"#08306B","#08306B"
-4.278159,0.793891642017772,"#08306B","#08306B"
-2.657784,0.467027025107304,"#08306B","#08306B"
0.4884709,0.442864609929126,"#08306B","#08306B"
0.8676668,0.146269135304902,"#08519C","#08306B"
0.8035718,-0.294686625548235,"#08519C","#08306B"
-4.356629,0.825583850739035,"#08519C","#08306B"
2.545113,0.518513778651567,"#08519C","#08306B"
1.744145,-0.244655991424708,"#08519C","#08306B"
0.5074614,0.977257093508137,"#08519C","#08306B"
2.532382,-0.403222527568749,"#08519C","#08306B"
1.169265,-0.724388135428676,"#08519C","#08306B"
1.515202,0.458484900467832,"#08519C","#08306B"
-2.79947,0.679344140966598,"#08519C","#08306B"
-1.582323,0.265112684023217,"#08519C","#08306B"
1.061159,-2.03504217727428,"#08519C","#08306B"
-0.03951548,-0.395600550274068,"#2171B5","#08306B"
-7.051119,0.183400738707682,"#2171B5","#08306B"
-4.869912,0.259970013554761,"#2171B5","#08306B"
2.598698,0.172579045062577,"#2171B5","#08306B"
-3.351276,0.199590183072343,"#2171B5","#08306B"
1.137243,-0.109997004675986,"#2171B5","#08306B"
0.4175742,-0.443486743143012,"#4292C6","#4292C6"
1.387231,-0.509542402527591,"#4292C6","#4292C6"
2.43152,1.2128257344538,"#4292C6","#4292C6"
-0.4181857,0.042350393891308,"#4292C6","#4292C6"
-4.940399,0.253816461594833,"#4292C6","#4292C6"
-1.461816,-0.616908760823853,"#4292C6","#4292C6"
2.566405,0.383807789848542,"#4292C6","#4292C6"
-4.194416,0.339315531370904,"#4292C6","#4292C6"
1.883419,-0.0801273989947644,"#4292C6","#4292C6"
0.7983032,-0.708986228125727,"#4292C6","#4292C6"
2.829919,0.0982756605923376,"#4292C6","#4292C6"
-4.914189,-0.289952996744384,"#4292C6","#4292C6"
2.364002,0.0130077089227559,"#4292C6","#4292C6"
2.648259,-0.635628408048873,"#4292C6","#4292C6"
1.07376,0.251144443596342,"#4292C6","#4292C6"
1.687492,0.101596268450603,"#4292C6","#4292C6"
-4.005444,0.34033428583751,"#4292C6","#4292C6"
-4.005444,0.0222185145103813,"#4292C6","#4292C6"
-3.314666,-0.561288155368084,"#4292C6","#4292C6"
-6.962816,0.724655816769545,"#4292C6","#4292C6"
2.364002,-0.124959616695722,"#4292C6","#4292C6"
-4.914189,-0.0767103921681903,"#4292C6","#4292C6"
2.648259,-0.0494762644541807,"#4292C6","#4292C6"
1.687492,0.621064321169252,"#4292C6","#4292C6"
1.07376,0.150730265660491,"#4292C6","#4292C6"
-0.1152914,-0.716600696494608,"#4292C6","#4292C6"
1.116453,-0.42381522289632,"#4292C6","#4292C6"
2.364002,-0.272076742676935,"#4292C6","#4292C6"
